,image_path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,images/apple_pie/20_homemade_apple_pie_hostedLargeUrl.jpg,"['mains', 'carbs', 'protein']","['dessert', 'carbs', 'fats']","['junk', 'dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'carbs', 'fats']"
1,images/apple_pie/12_magically_fast_apple_pie_hostedLargeUrl.jpg,"['appetizer', 'soups', 'carbs', 'protein']","['appetizer', 'carbs', 'fats']","['junk', 'dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'mains', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats', 'meat']","['junk', 'mains', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['mains', 'carbs', 'protein', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'protein', 'fats', 'meat']","['junk', 'mains', 'carbs', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'fats', 'meat']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'protein', 'fats', 'meat']","['junk', 'appetizer', 'carbs', 'fats']"
2,images/apple_pie/11_classic_apple_pie_hostedLargeUrl.jpg,"['appetizer', 'mains', 'carbs', 'protein']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs']","['junk', 'mains', 'soups', 'carbs']","['junk', 'dessert', 'carbs', 'fats']","['dessert', 'carbs']","['junk', 'mains', 'soups', 'carbs', 'fats']","['dessert', 'appetizer', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['junk', 'mains', 'soups', 'carbs']",['carbs'],"['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'mains', 'carbs', 'fats']","['mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['junk', 'carbs', 'fats']"
3,images/apple_pie/29_traditional_apple_pie_hostedLargeUrl.jpg,"['appetizer', 'soups', 'carbs', 'protein']","['dessert', 'carbs']","['junk', 'carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'carbs']","['mains', 'carbs', 'fats']","['junk', 'dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'mains', 'carbs', 'fats']","['dessert', 'carbs']","['mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['appetizer', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['dessert', 'carbs', 'fats']"
4,images/apple_pie/6_apple_pie_hostedLargeUrl.jpg,"['mains', 'carbs', 'protein', 'meat']","['dessert', 'carbs', 'fats']","['junk', 'dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['healthy', 'dessert', 'appetizer', 'soups', 'carbs']","['junk', 'mains', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['appetizer', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']"
5,images/baby_back_ribs/19_baby_back_ribs_hostedLargeUrl.jpg,"['carbs', 'fats']","['dessert', 'carbs', 'fats']","['mains', 'carbs', 'protein', 'fats', 'meat']","['carbs', 'fats']","['dessert', 'carbs', 'fats']","['appetizer', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['mains', 'carbs', 'fats', 'meat']","['junk', 'appetizer', 'carbs', 'fats']","['appetizer', 'carbs']","['junk', 'mains', 'carbs', 'fats', 'meat']","['dessert', 'carbs', 'fats']","['healthy', 'appetizer', 'soups', 'carbs']","['junk', 'mains', 'carbs', 'fats']","['mains', 'carbs', 'fats', 'meat']","['dessert', 'carbs']","['dessert', 'carbs', 'fats']","['carbs', 'protein', 'fats', 'meat']","['junk', 'carbs', 'fats', 'meat']","['carbs', 'fats']","['dessert', 'carbs', 'fats', 'meat']","['junk', 'mains', 'carbs', 'fats', 'meat']","['junk', 'mains', 'carbs', 'fats', 'meat']","['dessert', 'mains', 'carbs', 'fats']","['appetizer', 'carbs', 'fats']","['appetizer', 'protein', 'fats', 'meat']","['carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'mains', 'carbs', 'protein', 'fats', 'meat']","['dessert', 'carbs', 'fats']"
6,images/baby_back_ribs/5_easy_baby_back_ribs_hostedLargeUrl.jpg,"['mains', 'carbs']","['dessert', 'carbs']","['mains', 'carbs', 'protein', 'fats', 'meat']","['dessert', 'carbs']","['dessert', 'carbs']","['appetizer', 'carbs', 'protein', 'fats']","['mains', 'protein', 'fats', 'meat']","['mains', 'carbs', 'fats', 'meat']","['dessert', 'carbs', 'fats']","['mains', 'protein', 'fats', 'meat']","['healthy', 'mains', 'protein', 'fats']","['mains', 'carbs', 'fats', 'meat']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['protein', 'fats', 'meat']","['dessert', 'carbs', 'fats']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'meat']","['protein', 'fats', 'meat']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']"
7,images/baby_back_ribs/45_lilikoi_baby_back_ribs_hostedLargeUrl.jpg,"['healthy', 'appetizer', 'soups', 'carbs', 'protein']","['dessert', 'appetizer', 'carbs']","['healthy', 'appetizer', 'carbs', 'protein']","['healthy', 'soups', 'carbs', 'protein']","['healthy', 'appetizer', 'soups', 'carbs']","['healthy', 'appetizer', 'soups', 'carbs']","['healthy', 'appetizer', 'soups', 'protein']","['mains', 'carbs', 'protein', 'fats', 'meat']","['junk', 'appetizer', 'mains', 'carbs']","['healthy', 'appetizer', 'soups', 'carbs']","['healthy', 'mains', 'protein']","['healthy', 'appetizer', 'soups', 'protein']","['healthy', 'appetizer', 'soups', 'carbs']","['healthy', 'mains', 'soups', 'carbs']","['healthy', 'appetizer', 'soups', 'protein']","['healthy', 'mains', 'soups', 'carbs']","['healthy', 'appetizer', 'soups', 'protein']","['healthy', 'mains', 'protein']","['mains', 'protein', 'meat']","['healthy', 'mains', 'protein']","['healthy', 'mains', 'protein', 'meat']","['healthy', 'mains', 'soups', 'carbs', 'protein']","['healthy', 'appetizer', 'soups', 'protein']","['mains', 'carbs', 'protein', 'meat']","['healthy', 'mains', 'carbs', 'protein']","['mains', 'soups', 'protein', 'meat']","['healthy', 'appetizer', 'soups', 'protein']","['healthy', 'appetizer', 'soups', 'protein']","['healthy', 'mains', 'protein']","['healthy', 'mains', 'protein', 'meat']"
8,images/baby_back_ribs/13_backyard_baby_back_ribs_hostedLargeUrl.jpg,"['mains', 'protein']",['carbs'],"['mains', 'carbs', 'protein', 'fats', 'meat']","['dessert', 'carbs']","['dessert', 'carbs']","['healthy', 'appetizer', 'carbs', 'protein', 'fats']","['dessert', 'carbs', 'fats']","['dessert', 'carbs', 'fats']","['junk', 'appetizer', 'carbs', 'fats']","['appetizer', 'protein', 'fats', 'meat']","['healthy', 'mains', 'protein', 'fats']","['dessert', 'carbs', 'fats']","['healthy', 'appetizer', 'carbs', 'protein']","['mains', 'carbs', 'fats', 'meat']","['carbs', 'protein', 'fats', 'meat']","['dessert', 'carbs', 'fats']","['appetizer', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['appetizer', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['mains', 'carbs', 'protein', 'fats', 'meat']","['mains', 'carbs', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['appetizer', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['appetizer', 'protein', 'fats', 'meat']"
9,images/baby_back_ribs/49_smoked_baby_back_ribs_hostedLargeUrl.jpg,"['healthy', 'mains', 'protein']","['mains', 'fats']","['mains', 'protein', 'fats', 'meat']",['protein'],"['dessert', 'carbs']","['healthy', 'appetizer', 'mains', 'protein']","['dessert', 'mains', 'carbs', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats']","['dessert', 'carbs', 'fats']","['protein', 'fats', 'meat']","['healthy', 'mains', 'protein', 'fats']","['dessert', 'carbs', 'fats']","['mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['carbs', 'protein', 'fats', 'meat']","['junk', 'mains', 'carbs', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['healthy', 'mains', 'protein', 'fats']","['mains', 'carbs', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['mains', 'carbs', 'protein', 'fats', 'meat']","['junk', 'mains', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['appetizer', 'carbs', 'protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['protein', 'fats', 'meat']","['mains', 'protein', 'fats', 'meat']","['mains', 'carbs', 'protein', 'fats', 'meat']","['appetizer', 'protein', 'fats', 'meat']"
