Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Peter Lindstrom 0001,40.0,1.0,19.0,5.0,40.0,3.0,1.0,29.0,47.0,54.0,-1.0,22.0,46.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bongshin Lee,-1.0,-1.0,-1.0,-1.0,25.0,45.0,8.0,-1.0,-1.0,7.0,0.0,9.0,2.0,3.0,8.0,-1.0,-1.0,-1.0,4.0,2.0,28.0,13.0,-1.0
Michael Gleicher,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,32.0,46.0,69.0,-1.0,-1.0,13.0,3.0,43.0,21.0,21.0,65.0,-1.0,-1.0,-1.0,-1.0
Miriah D. Meyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,27.0,3.0,18.0,52.0,0.0,0.0,7.0,17.0,22.0,49.0,-1.0,0.0,26.0,38.0,-1.0
Yingcai Wu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,2.0,46.0,59.0,6.0,6.0,2.0,8.0,-1.0,7.0,34.0,4.0,-1.0,-1.0
Pierre Dragicevic,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,13.0,0.0,26.0,2.0,3.0,8.0,24.0,64.0,30.0,52.0,63.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,23.0,0.0,18.0,1.0,18.0,41.0,9.0,48.0,20.0,20.0,13.0,51.0,64.0,20.0,14.0,36.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Christoph Garth,-1.0,-1.0,-1.0,-1.0,7.0,9.0,33.0,63.0,-1.0,-1.0,20.0,35.0,28.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,7.0,25.0,33.0
Han-Wei Shen,-1.0,-1.0,-1.0,15.0,22.0,2.0,12.0,50.0,58.0,16.0,51.0,72.0,-1.0,22.0,53.0,21.0,10.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ming C. Hao,38.0,14.0,14.0,33.0,32.0,14.0,14.0,28.0,46.0,5.0,45.0,13.0,40.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Song Zhang 0004,-1.0,7.0,22.0,38.0,26.0,46.0,56.0,-1.0,-1.0,4.0,1.0,45.0,58.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adam Perer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,45.0,56.0,0.0,44.0,14.0,41.0,60.0,4.0,11.0,38.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
R. Jordan Crouser,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,3.0,28.0,5.0,-1.0,28.0,54.0,70.0,24.0,16.0,32.0,-1.0
Natalia V. Andrienko,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,5.0,2.0,21.0,5.0,4.0,18.0,51.0,71.0,-1.0,5.0,35.0,54.0,24.0,37.0,42.0
Jason Dykes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,10.0,12.0,19.0,17.0,2.0,15.0,49.0,19.0,18.0,46.0,63.0,0.0,26.0,38.0,-1.0
Anushka Anand,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,27.0,58.0,-1.0,-1.0,-1.0,44.0,19.0,40.0,30.0,27.0,46.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tim Dwyer,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,10.0,49.0,23.0,7.0,0.0,9.0,2.0,19.0,52.0,72.0,3.0,36.0,8.0,35.0,8.0,-1.0,-1.0
Leland Wilkinson,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,27.0,58.0,-1.0,-1.0,17.0,44.0,19.0,40.0,30.0,60.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
