Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maxime Cordeil,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,16.0,4.0,-1.0,5.0,-1.0,-1.0
Eric B. Lum,-1.0,4.0,5.0,4.0,5.0,12.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Anna Vilanova,3.0,5.0,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Siming Chen 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,9.0,11.0,-1.0,-1.0,12.0,-1.0,-1.0
Heike Leitte,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,11.0,13.0,2.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Josua Krause,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,5.0,23.0,2.0,-1.0,13.0,-1.0,-1.0,-1.0
Huub van de Wetering,9.0,10.0,2.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Eugene Zhang,-1.0,-1.0,7.0,7.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,7.0
Steffen Frey,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,21.0,19.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Markus Bögl,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,24.0,8.0,24.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0
Peter Lindstrom 0001,-1.0,1.0,10.0,2.0,-1.0,-1.0,0.0,12.0,22.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jessica Hullman,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,18.0,4.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bongshin Lee,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,5.0,0.0,4.0,2.0,2.0,6.0,-1.0,-1.0,-1.0,2.0,0.0,13.0,9.0,-1.0
Alexander Bock 0002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,24.0,-1.0,-1.0,-1.0,9.0,-1.0,5.0,15.0,-1.0,-1.0
Maoyuan Sun,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,17.0,28.0,7.0,20.0,20.0,-1.0,-1.0,-1.0
Miriah D. Meyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,2.0,11.0,-1.0,0.0,0.0,5.0,-1.0,13.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0
Florian Mansmann,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,4.0,18.0,3.0,21.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Yingcai Wu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,1.0,21.0,22.0,5.0,4.0,0.0,6.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0
Xiting Wang,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,6.0,23.0,7.0,-1.0,-1.0,-1.0,-1.0
Gunther H. Weber,-1.0,-1.0,6.0,11.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gregory P. Johnson,-1.0,-1.0,-1.0,-1.0,13.0,8.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0
Pierre Dragicevic,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9.0,0.0,14.0,2.0,2.0,6.0,12.0,33.0,12.0,21.0,-1.0,-1.0,-1.0,-1.0
Michael Blumenschein,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,3.0,8.0,18.0,-1.0,-1.0
Heidi Lam,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,21.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,17.0,9.0,-1.0,-1.0,-1.0
Armin Kanitsar,-1.0,5.0,0.0,6.0,2.0,10.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,-1.0,0.0,-1.0,1.0,10.0,15.0,5.0,-1.0,11.0,13.0,9.0,-1.0,-1.0,-1.0,9.0,21.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bum Chul Kwon,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,25.0,-1.0,1.0,4.0,17.0,17.0,-1.0,-1.0,-1.0,-1.0
Christoph Garth,-1.0,-1.0,-1.0,-1.0,4.0,3.0,17.0,-1.0,-1.0,-1.0,-1.0,18.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Alexander Wiebel,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,13.0,7.0,11.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Dongyu Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,2.0,5.0,3.0
Sheelagh Carpendale,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,0.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Samuel Gratzl,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,24.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Carlos D. Correa,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,7.0,23.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Han-Wei Shen,-1.0,-1.0,-1.0,-1.0,12.0,0.0,6.0,16.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,7.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tino Weinkauf,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,10.0,19.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ming C. Hao,-1.0,8.0,9.0,13.0,14.0,4.0,7.0,-1.0,-1.0,3.0,21.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Martin Falk,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,17.0,24.0,19.0,5.0,15.0,-1.0,-1.0
Nivan Ferreira,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,15.0,7.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adam Perer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,0.0,20.0,8.0,20.0,-1.0,2.0,5.0,23.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
