Name,00-05,05-10,10-15,15-20,20-22,90-95,95-00
Adam Perer,-1.0,0.0,2.0,14.0,-1.0,-1.0,-1.0
Nathalie Henry Riche,-1.0,26.0,2.0,10.0,-1.0,-1.0,-1.0
Gordon L. Kindlmann,10.0,15.0,9.0,-1.0,-1.0,-1.0,-1.0
Tarik Crnovrsanin,-1.0,7.0,-1.0,5.0,8.0,-1.0,-1.0
Miriah D. Meyer,-1.0,2.0,5.0,0.0,-1.0,-1.0,-1.0
Jeffrey Heer,-1.0,1.0,2.0,27.0,-1.0,-1.0,-1.0
Jian Zhao 0010,-1.0,-1.0,2.0,26.0,8.0,-1.0,-1.0
Attila Gyulassy,-1.0,6.0,17.0,15.0,-1.0,-1.0,-1.0
Huamin Qu,12.0,14.0,-1.0,5.0,-1.0,-1.0,-1.0
Gerik Scheuermann,4.0,15.0,-1.0,-1.0,-1.0,-1.0,6.0
Peer-Timo Bremer,-1.0,6.0,17.0,15.0,-1.0,-1.0,-1.0
David S. Ebert,16.0,34.0,-1.0,-1.0,-1.0,0.0,-1.0
Kwan-Liu Ma,5.0,7.0,-1.0,5.0,-1.0,-1.0,14.0
Torsten Möller,1.0,33.0,22.0,-1.0,-1.0,-1.0,1.0
Melanie Tory,1.0,-1.0,11.0,11.0,-1.0,-1.0,-1.0
John T. Stasko,2.0,9.0,2.0,16.0,-1.0,-1.0,-1.0
Holger Theisel,-1.0,23.0,23.0,24.0,-1.0,-1.0,-1.0
Xavier Tricoche,4.0,15.0,30.0,-1.0,-1.0,-1.0,6.0
Daniel Weiskopf,6.0,4.0,21.0,-1.0,-1.0,-1.0,-1.0
Bongshin Lee,-1.0,5.0,2.0,1.0,-1.0,-1.0,-1.0
Jason Dykes,-1.0,8.0,2.0,0.0,-1.0,-1.0,-1.0
Johanna Beyer,-1.0,11.0,16.0,8.0,-1.0,-1.0,-1.0
Cláudio T. Silva,19.0,-1.0,-1.0,-1.0,-1.0,0.0,5.0
Han-Wei Shen,13.0,12.0,-1.0,2.0,-1.0,-1.0,10.0
Ross T. Whitaker,10.0,2.0,6.0,-1.0,-1.0,-1.0,-1.0
Christopher R. Johnson 0001,8.0,-1.0,-1.0,-1.0,4.0,-1.0,10.0
Markus Hadwiger,-1.0,11.0,16.0,8.0,-1.0,-1.0,-1.0
Wenwen Dou,-1.0,21.0,3.0,25.0,-1.0,-1.0,-1.0
Jarke J. van Wijk,2.0,19.0,-1.0,-1.0,-1.0,5.0,0.0
Arie E. Kaufman,12.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0
Zhicheng Liu,-1.0,9.0,2.0,10.0,-1.0,-1.0,-1.0
Wei Chen 0001,-1.0,-1.0,18.0,5.0,0.0,-1.0,-1.0
Pierre Dragicevic,-1.0,9.0,2.0,29.0,-1.0,-1.0,-1.0
Anastasia Bezerianos,-1.0,26.0,2.0,3.0,-1.0,-1.0,-1.0
Tim Dwyer,-1.0,5.0,2.0,17.0,-1.0,-1.0,-1.0
Pat Hanrahan,21.0,1.0,10.0,-1.0,-1.0,-1.0,-1.0
