,NodeId,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
0,15,8,15,10,5,13,-1,5,8,10,-1
1,17,10,1,0,-1,-1,5,7,13,8,10
2,21,10,-1,8,-1,-1,-1,15,8,-1,10
3,29,8,-1,12,-1,3,11,6,0,3,1
4,35,-1,10,7,11,15,2,13,7,11,0
5,39,8,1,12,5,9,10,-1,0,15,1
6,48,10,11,-1,12,10,3,7,13,4,12
7,50,3,9,0,12,8,15,7,13,8,10
8,56,2,1,-1,5,-1,4,14,4,12,13
9,63,6,4,6,9,5,8,1,12,7,4
10,66,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,79,8,6,13,10,-1,0,5,6,10,1
12,80,3,1,8,0,9,0,12,13,8,10
13,87,-1,-1,-1,-1,-1,-1,-1,-1,14,-1
14,95,8,1,14,5,3,11,10,1,3,1
15,101,-1,-1,8,-1,-1,14,11,10,-1,-1
16,102,15,0,2,12,-1,9,7,13,8,10
17,105,11,-1,3,8,1,6,3,-1,13,5
18,113,11,-1,3,6,1,6,3,0,13,-1
19,116,8,4,14,12,-1,-1,-1,-1,-1,-1
20,118,3,8,7,-1,-1,-1,-1,13,2,-1
21,119,0,14,7,12,10,13,-1,15,14,-1
22,120,12,1,7,5,-1,1,2,9,1,-1
23,122,4,-1,-1,-1,-1,13,1,14,9,6
24,123,8,15,13,10,13,11,5,8,10,4
25,131,-1,9,2,12,-1,15,7,-1,-1,-1
26,132,-1,-1,-1,5,10,4,14,4,2,1
27,134,0,13,-1,15,-1,0,7,-1,14,14
28,150,15,7,6,9,5,8,1,11,5,4
29,153,14,12,1,1,-1,-1,10,14,9,4
30,154,6,7,6,-1,12,13,1,6,9,6
31,164,8,2,-1,-1,-1,-1,-1,3,2,-1
32,172,12,15,5,0,6,4,-1,6,2,3
33,179,10,-1,9,-1,-1,5,15,10,-1,-1
34,181,8,-1,-1,5,1,6,-1,-1,3,-1
35,184,9,-1,7,15,7,2,13,8,11,0
36,185,9,9,-1,11,7,-1,-1,-1,-1,-1
37,194,3,1,-1,5,3,11,6,-1,3,8
38,196,12,1,5,15,6,12,2,6,2,3
39,205,14,1,4,5,5,10,8,1,15,3
40,209,10,8,0,7,10,3,9,10,4,12
41,210,-1,10,-1,-1,-1,-1,-1,-1,-1,-1
42,211,-1,14,14,15,5,-1,4,1,-1,-1
43,213,-1,-1,-1,-1,5,0,1,1,-1,10
44,222,14,6,13,-1,-1,0,8,1,-1,1
45,223,8,1,10,5,9,0,-1,1,3,1
46,240,0,5,-1,-1,8,9,-1,-1,6,9
47,242,11,1,-1,6,9,-1,-1,-1,-1,-1
48,253,8,15,-1,10,13,11,5,8,10,-1
49,255,-1,-1,-1,-1,15,2,12,8,11,0
50,265,-1,1,14,15,-1,2,13,5,1,0
51,267,14,2,13,5,5,0,8,0,-1,2
52,268,5,14,7,2,4,2,13,7,12,0
53,271,15,7,-1,1,11,7,1,14,9,11
54,272,14,-1,-1,14,-1,-1,-1,-1,-1,-1
55,273,-1,-1,14,11,15,15,13,8,11,7
56,275,0,13,7,13,-1,10,9,15,-1,-1
57,285,0,13,-1,-1,-1,-1,-1,-1,1,9
58,311,3,1,14,12,3,0,8,1,3,8
59,335,7,0,7,12,-1,-1,4,13,-1,-1
60,431,10,6,-1,13,8,14,11,-1,1,9
61,448,4,7,1,14,12,13,7,-1,5,-1
62,481,6,4,6,9,12,8,1,12,7,4
63,492,1,12,1,1,11,7,10,14,-1,-1
64,494,13,3,11,4,0,0,0,2,-1,-1
65,496,14,1,10,5,3,10,8,0,15,15
66,499,4,7,1,1,12,13,1,11,14,11
67,511,7,0,-1,7,14,-1,12,13,12,14
68,513,11,-1,12,8,1,6,3,-1,-1,5
69,533,-1,7,-1,9,5,13,1,6,9,4
70,601,15,12,1,9,11,7,1,14,-1,4
71,603,10,2,-1,14,2,1,10,3,0,2
72,662,-1,-1,14,5,9,10,2,1,15,1
73,709,-1,-1,6,9,12,8,1,12,7,4
74,743,-1,-1,-1,-1,-1,15,-1,5,11,7
75,751,-1,14,14,15,7,2,13,12,11,0
76,762,0,0,-1,12,14,9,4,13,-1,14
77,765,13,3,-1,4,0,0,1,2,3,8
78,771,3,0,0,12,8,-1,-1,-1,-1,-1
79,778,9,10,14,11,-1,-1,13,8,11,-1
80,779,-1,-1,-1,3,6,-1,6,-1,2,-1
81,784,-1,0,-1,13,-1,14,-1,13,14,14
82,786,3,3,-1,-1,-1,-1,0,-1,-1,8
83,791,-1,-1,-1,-1,2,-1,-1,-1,0,13
84,804,8,14,7,7,14,2,15,13,12,10
85,819,12,1,15,3,6,12,-1,9,15,-1
86,826,8,6,14,-1,15,15,13,5,11,0
87,845,5,10,7,2,4,-1,-1,-1,-1,-1
88,875,0,11,9,13,10,9,7,13,14,10
89,938,1,5,-1,-1,-1,-1,11,-1,6,9
90,939,2,7,4,5,-1,12,6,14,3,-1
91,987,-1,12,-1,3,6,-1,-1,9,2,15
