x,y,label,classifierA_predicted_label,classifierB_predicted_label
1.0496714153011233,-0.013826430117118467,dog,cat,cat
1.0647687530710415,0.15275184869953895,dog,cat,cat
0.9765842595715754,-0.022515969667881292,dog,cat,cat
1.1579203748996105,0.0780900617297559,dog,cat,cat
0.9530509495824655,0.05605145568918165,dog,cat,cat
0.953655712244073,-0.044328661872064384,dog,cat,cat
1.024192600553733,-0.18863484927862229,dog,cat,cat
0.8275032805403115,-0.053086716577359264,dog,cat,cat
0.8987104406755966,0.035015630132794524,dog,cat,cat
0.9091894325975854,-0.1371906134572198,dog,cat,cat
1.146554803006118,-0.018089014383224338,dog,cat,cat
1.0067406310709848,-0.1375373448711541,dog,cat,cat
0.9455472211623043,0.01647858981114789,dog,cat,cat
0.8848836174100896,0.043404988679470735,dog,cat,cat
0.939916386223311,-0.022885333305343987,dog,cat,cat
0.9398066725810461,0.19196071368786113,dog,cat,cat
0.9986244884454978,-0.09858934545216969,dog,cat,cat
1.0822253777720556,-0.11445376679419336,dog,cat,cat
1.020853720232468,-0.1878875649629783,dog,cat,cat
0.8671450285409255,0.028214418606170695,dog,cat,cat
1.0738063626583572,0.026113969014250154,dog,cat,cat
0.9883907461781025,-0.020684384596377912,dog,cat,cat
0.8520990436691896,-0.062109593708751146,dog,cat,cat
0.9538828324307271,0.11603588993121906,dog,cat,cat
1.0343038038370067,-0.16553151012833056,dog,cat,cat
1.03234543570673,-0.0272868867054969,dog,cat,cat
0.9322397011583743,0.07283780388755942,dog,cat,cat
1.1030265143959495,0.1052470182311462,dog,cat,cat
0.9159992693182154,-0.018353402391255234,dog,cat,cat
1.0330416228128172,0.11057117424829903,dog,cat,cat
0.951991912458927,-0.005100412410693382,dog,cat,cat
0.8892696939540595,-0.10570635614575331,dog,cat,cat
1.0811494272467377,0.14998712732259412,dog,cat,cat
0.9926892850446678,0.11516522956405793,dog,cat,cat
1.0360471504468949,-0.04925122336059408,dog,cat,cat
1.0360161577778102,0.16951321799687147,dog,cat,cat
0.9962868411476181,0.1726227330168995,dog,cat,cat
0.7378875810295318,0.0987974207026891,dog,cat,cat
1.0085592431919461,-0.012844765297732548,dog,cat,cat
1.0090228575025542,-0.18125212566395124,dog,cat,cat
0.9778716330989424,0.05366481546777039,dog,cat,cat
